full_text,ner
هيني عالمربعه واقفين محلنا تل البلد سالكة,O B-LOC STAT O B-LOC O STAT
وضع دير شرف سالكة,O B-LOC I-LOC STAT
 حاجز حوارة جندي ممكن يسألك وين رايح,Barr B-LOC O O O O O
حاجز حوارة جندي ممكن يسألك وين رايح مابسترجي,Barr B-LOC O O O O O O
صرة؟ حاجز,B-LOC Barr
دير شرف ؟ سالكة,B-LOC I-LOC O STAT
 شباب حاجز صره,O Barr B-LOC
 حوارة سالك للداخل نابلس وازمة صغيرة للخارج تفتيش,B-LOC STAT O O STAT O O STAT
 حواره ازمه الحاجز بمشي,B-LOC STAT Barr O
او عورتا مسكر,O B-LOC STAT
 حاجز حوارة سالك,Barr B-LOC STAT
 سالك حواره بازمه بدون؟,STAT B-LOC STAT O
عورتا فاتح؟ مغلق,B-LOC STAT STAT
طيب وضع دير شرف سالكة,O O B-LOC I-LOC STAT
سالكة سالكة,STAT STAT
سمحتو سالك,O STAT
 سالك دير شرف,STAT B-LOC I-LOC
 يا شباب حادس سير مدخل عقربه,O O O O O O
 ازمة خافقه,STAT O
حوارة ومفرق جيت سالكة,B-LOC O B-LOC STAT
 ازمه كتير,STAT O
 شباب محصوم صره,O Barr B-LOC
شباب طريق المربعة حاجز,O Barr B-LOC Barr
 شباب حاجز سرا,O Barr O
 أزمة,STAT
 للداخل حوارة,O B-LOC
 حآجز عزون فاتتح,O O STAT
 حوارة للي داخل,B-LOC O O
 مومون يستهدفون حاجز دوتان بوابل الرصاص وانسحاب المقاومين بسلام,O O Barr O O O O O O
 دير شرف سالك بالاتجاهين صرة حاليا حاجز للي خارج والي داخل سالك حوارة للخارج ازمة وتفتيش والي داخل ازمة ماشية,B-LOC I-LOC STAT O B-LOC O Barr O O O O STAT B-LOC O STAT STAT O O STAT STAT
المربعه داخل تل سالكة حاليا؟ تل البلد سالكة اه,B-LOC O B-LOC STAT O B-LOC O STAT O
 حوارة سالك بالاتجاهين,B-LOC STAT O
 سيارتين شرطة اشارات عيون الحرامية,O B-ORG O O O
 حومش سالكة,O STAT
 دير شرف سالك,B-LOC I-LOC STAT
 مفرق الطنيب سالك,O O STAT
 طريق طولكرم جيت سالكة بالاتجاهين,Barr O B-LOC STAT O
شو وضع صره للخارج ازمة وتفتيش,O O B-LOC O STAT STAT
 دير شرف للخارج,B-LOC I-LOC O
 حواره سالك التجاهين,B-LOC STAT O
 حاجز صرة ازمة وتفتيش للي خارج نابلس الداخل سالك,Barr B-LOC STAT STAT O O O O STAT
 ديرشرف لغايه الان سالكه,O O O STAT
 زعترة سالك للاتجاهين داخل وخارج نابلس,B-LOC STAT O O O O
 الي جاي يتسهار مفرق جيت سالكة,O O B-LOC O B-LOC STAT
المربعه فاتحه؟ حاجز,B-LOC STAT Barr
المربعه فاتحه؟ حاجز لاخر تحديث,B-LOC STAT Barr O O
 دير شرف سالك,B-LOC I-LOC STAT
 شيلو ساالك,O STAT
طيب طريق تل فاتحه؟ فاتحة,O Barr B-LOC STAT STAT
طيب طريق تل فاتحه؟ ازمة,O Barr B-LOC STAT STAT
 بوابة مادما مغلقة,O B-LOC STAT
 حوارة سالك ازمة,B-LOC STAT STAT
دير شرف شو وضعها سالكة,B-LOC I-LOC O O STAT
طريق صره شو وضعها ازمة,Barr B-LOC O O STAT
زعتره رام الله شباب سالكة,B-LOC O O O STAT
 اجز لقوات الاحتلال طريق تل المربعة,Barr O O Barr B-LOC B-LOC
حدا يصور حوارة اخر تحديث سالكة بالاتجاهين,O O B-LOC O O STAT O
 مفرق يتسهار سالك,O B-LOC STAT
حدا يصور حوارة سالك,O O B-LOC STAT
 دوار يتسهار سالك الاتجاهات,Barr B-LOC STAT O
 حواره ازمه خفيفه,B-LOC STAT O
 دوار عينابوس ازمة واصلة الجسر,Barr O STAT O O
 صره مسكره,B-LOC STAT
 تفتيش,STAT
دير شرف ؟ سالك لهسه,B-LOC I-LOC O STAT O
 سالك,STAT
حواره ازمه خفيفه رحت حوارة ازمة كتير,B-LOC STAT O O B-LOC STAT O
رحت حوارة ازمة كتير للي طالع رام الله ازمه قويه,O B-LOC STAT O O O O O STAT O
صره مسكره بمرقو تفتيش وفحص,B-LOC STAT O STAT O
 حاجز صرة سالك للداخلين وازمة وتفتيش للخارجين كامل خط يتسهار سالك ونظيف دوار سلمان الفارسي سالك الاتجاهات ونظيف,Barr B-LOC STAT O STAT STAT O O O B-LOC STAT STAT Barr B-LOC I-LOC STAT O STAT
 زعترة سالك,B-LOC STAT
 حواره سالك بالاتجاهين ازمة خفيفه للخارج,B-LOC STAT O STAT O O
وضع دير شرف سالكة,O B-LOC I-LOC STAT
 المربعة الجسر فاتحة,B-LOC O STAT
 صره مغلق للخارج سالك للداخل,B-LOC STAT O STAT O
دير شرف سالكة,B-LOC I-LOC STAT
 حاجز صره سالك يا جماعه؟؟؟,Barr B-LOC STAT O O
 اقرأوو يجماعة مالكمم,O O O
دير شرف شو وضعها سالك,B-LOC I-LOC O O STAT
خط دوار سليمان الفارسي شو وضععه سالك,O Barr B-LOC I-LOC O O STAT
 المربعة الجسر سالكة للداخل والخارج,B-LOC O STAT O O
 دوار زعترة سالك الاتجاهات,Barr B-LOC STAT O
اقرأوو يجماعة مالكمم وك لانه بسوق دوب بمسك تلفون عشان اسئل,O O O O O O O O O O O
صايمين بحبوش يتعبو فش تعب الجواب قدامهم,O O O O O O O
المربعة وبوابة مادما بوابه مادما مسكرة,B-LOC O B-LOC O B-LOC STAT
 حاجز عالمربعة للي رايح نابلس,Barr B-LOC O O O
المربعة وبوابة مادما البوابة مسكرة,B-LOC O B-LOC O STAT
 دوار يتسهار الاتجاهات سالك,Barr B-LOC O STAT
 ازمة دوار عينبوس بالاتجاهين,STAT Barr O O
 المربعة حاجز,B-LOC Barr
 الوجبة السريعة وباتجاه دوار عينابوس ازمة,O O O Barr O STAT
 محدش يروح صرة للخارج أزمة الداخل سالك,O O B-LOC O STAT O STAT
 روحو حوارة سالكة,O B-LOC STAT
 حاجز حوارة الان تفتيش اللي طالع سالك للي نازل نابلس,Barr B-LOC O STAT O O STAT O O O
دير شرف سالكة,B-LOC I-LOC STAT
 حوارة سالك,B-LOC STAT
 اشارات عيلي سالكة,O O STAT
 صره مسكر الخارج,B-LOC STAT O
حوارة ازمة كيف؟ ازمة مش كبيرة,B-LOC STAT O STAT O O
 مش زي ازمة الظهر,O O STAT O
 باتجاه دوار عينابوس ازمة ماشية,O Barr O STAT STAT
 اشارات شيلو سالكة,O O STAT
 دير شرف سالك,B-LOC I-LOC STAT
 صره ازمه,B-LOC STAT
صرة ازمه مش طبيعيه,B-LOC STAT O O
 اللي خارج بدققو الجيش,O O O B-ORG
 ترمسعيا سالكة,B-LOC STAT
دير شرف سالكه؟؟ سالكة,B-LOC I-LOC O STAT
 كامل خط قلقيلية نابلس سالك ونظيف بلمع,O O O O STAT STAT O
 حاجز حواره سالك خارج نابلس,Barr B-LOC STAT O O
 صرة سالك داخل الخارج حاجز تفتيش,B-LOC STAT O O Barr STAT
 اشارات عيون الحرامية سالكة,O O O STAT
 صرة سالك التفتيش تفتيش بطيء؟؟,B-LOC STAT STAT STAT O
 للخارج,O
صرة سالك التفتيش تفتيش بطيء؟؟ حاجز,B-LOC STAT STAT STAT O Barr
دير شرف فاتحة؟ فاتحة,B-LOC I-LOC STAT STAT
 اشارات عوفرا سالكة,O B-LOC STAT
 بوابة يبرود مغلقة,O O STAT
 حوارة سالك,B-LOC STAT
 للي خارج نابلس دير شرف سالك صرة مأزم,O O O B-LOC I-LOC STAT B-LOC O
 نابلس جهة يتسهار أزمة خانقة,O O B-LOC STAT O
 صرة سالك للخارج,B-LOC STAT O
حوارة فاتحة؟ فاتحة,B-LOC STAT STAT
 دير شرف مغلقة للخارج نابلس وسالكة للداخل,B-LOC I-LOC STAT O O STAT O
 حواره الخارج نابلس سالك,B-LOC O O STAT
صرة شو وضعها؟ ازمة وتفتيش,B-LOC O O STAT STAT
 أزمة عالداخل والا عالخارج,STAT O O O
 دير شرف ازمة,B-LOC I-LOC STAT
 كامل خط دوار سليمان الفارسي نظيف بلمع,O O Barr B-LOC I-LOC STAT O
 حاجز حواره سألك للي طالع,Barr B-LOC O O O
 حاجز صره ازمه للي طالع نابلس سالك للي داخل الي بدو يطلع نابلس يروح دير شرف ومايضيع وقتو,Barr B-LOC STAT O O O STAT O O O O O O O B-LOC I-LOC O O
 دوار سليمان الفارسي مفرق بورين سالك نظيف,Barr B-LOC I-LOC O O STAT STAT
 هيني حاجز حواره سألك للي خارج,O Barr B-LOC O O O
 وللداخل,O
حاجز صره ازمه للي طالع نابلس سالك للي داخل الي بدو يطلع نابلس يروح دير شرف ومايضيع وقتو دير شرف حطو حاجز للي خارج,Barr B-LOC STAT O O O STAT O O O O O O O B-LOC I-LOC O O B-LOC I-LOC O Barr O O
طريق طولكرم لنابلس سالكة,Barr O O STAT
شو وضع صرة للي خارج نابلس تكرمتم ازمة وتفتيش,O O B-LOC O O O O STAT STAT
دير شرف حطو حاجز للي خارج يعني حاليا حاجز دير شرف,B-LOC I-LOC O Barr O O O O Barr B-LOC I-LOC
دير شريف الوضع حطو حاجز,B-LOC I-LOC O O Barr
 سيارة شرطة برايفت اشارات جين صافوط بتخالف بسيارة,O B-ORG O O O O O O
 الي بده يفطر بيته ومروح دير شرف يمرق زواتا دوار دير شرف للطالع نابلس حاجز,O O O B-LOC O B-LOC I-LOC O B-LOC Barr B-LOC I-LOC O O Barr
 سالكه,STAT
صره؟ للخارج حاجز,B-LOC O Barr
 دير شرف قالولنا سالكه وطلعت مسكره,B-LOC I-LOC O STAT O STAT
المربعة شو وضعها حاجز وازمة,B-LOC O O Barr STAT
دير شرف قالولنا سالكه وطلعت مسكره حاجز خمس دقايق,B-LOC I-LOC O STAT O STAT Barr O O
شو وضع حوارة للداخل سالكة,O O B-LOC O STAT
 بتضل اهون الحاجز يعني انت عارف رح تطلع تفطر مكانكوغير هيك طرق فرعية نابلس بتختصر حالك الازمة,O O Barr O O O O O O O O Barr O O O O STAT
 شباب بالنسبه لدير شرف  حطو الحاجز والحاجز عباره تفتيش عادي بياخدو التلفونات بيفتشوها,O O B-LOC I-LOC O Barr O O STAT O O O O
 حاجز صره ازمه للي طالع نابلس سالك للي داخل الي بدو يطلع نابلي يروح تل لبورين او عراق بورين لبورين لحواره,Barr B-LOC STAT O O O STAT O O O O O O O B-LOC O O O O O O
 حاجز صرة الان,Barr B-LOC O
شباب شو وضع دير شرف للي طالع نابلس؟؟ ازمة وتفتيش,O O O B-LOC I-LOC O O O STAT STAT
 صره للخارج نابلس ازمه كبيره,B-LOC O O STAT O
 مسكر,STAT
 ودير شرف ازمه اكبر,B-LOC I-LOC STAT O
 دير شرف حاجز ازمة وتفتيش للي خارج نابلس والي داخل سالك صرة حاليا حاجز للي خارج والي داخل سالك حوارة للخارج سالك وتفتيش سريع والي داخل سالك,B-LOC I-LOC Barr STAT STAT O O O O O STAT B-LOC O Barr O O O O STAT B-LOC O STAT STAT O O O STAT
بيت ايل يا شباب سالكة للي داخل والي خارج ازمة الحاجز,B-LOC I-LOC O O STAT O O O O STAT Barr
شباب شو وضع رام الله لنابلس سالكة,O O O O O O STAT
 دير شرف ازمه خانقه للخارج نابلس,B-LOC I-LOC STAT O O O
 اشارات بيت ايل سالكة,O B-LOC I-LOC STAT
 طريق بيت ايل سالكة,Barr B-LOC I-LOC STAT
 حاجز صره ازمه للي طالع نابلس سالك للي داخل دير شرف ازمه للي طالع نابلس الي بدو يطلع نابلي يروح تل لبورين او عراق بورين لبورين لحواره,Barr B-LOC STAT O O O STAT O O B-LOC I-LOC STAT O O O O O O O O B-LOC O O O O O O
 شباب ردو حاجز صره ازمه للي طالع نابلس سالك للي داخل الي بدو يطلع نابلي يروح تل لبورين او عراق بورين لبورين لحواره,O O Barr B-LOC STAT O O O STAT O O O O O O O B-LOC O O O O O O
 المربعة مسكرة,B-LOC STAT
 حاجز حوارة للخارج,Barr B-LOC O
المربعة مسكرة مش مسكرة أزمة نص بتمرق سيارة,B-LOC STAT O STAT STAT O O O
 كامل خط يتسهار سالك ونظيف دوار سلمان الفارسي سالك الاتجاهات,O O B-LOC STAT STAT Barr B-LOC I-LOC STAT O
 مفتوح ازمة خفيفة,STAT STAT O
حاجز حوارة للخارج ازمه وتفتيش,Barr B-LOC O STAT STAT
سالكك ؟؟ سالك ازمة,STAT O STAT STAT
 المربعه للداخل نابلس سالكه,B-LOC O O STAT
 المربعة حاجز وتفتيش السيارات للداخل والخارجالطريق البديل شارع ترابي الحاجز للوصول لقرية تل,B-LOC Barr STAT O O O O O O Barr O O B-LOC
صره فاتحه؟ ازمة وتفتيش,B-LOC STAT STAT STAT
 حاجز عناب سالك بالاتجاهين,Barr B-LOC STAT O
 تل فاتحه,B-LOC STAT
دير شرف ازمة وتفتيش,B-LOC I-LOC STAT STAT
ديرشرف ازمة وتفتيش,O STAT STAT
 دير شرف سالك تماماصرة تفتيش وازمة,B-LOC I-LOC STAT O STAT STAT
 تل فاتحه,B-LOC STAT
 دير شرف مسركة,B-LOC I-LOC O
 المربعة تفتيش عاللي طالع نابلس ازمة,B-LOC STAT O O O STAT
دير شرف سالك تماماصرة تفتيش وازمة ازمة وتفتيش دير شرف للي خارج نابلس,B-LOC I-LOC STAT O STAT STAT STAT STAT B-LOC I-LOC O O O
 ازمة,STAT
 خروج فش صرة ديرشرف,O O B-LOC O
 الله الوكيل,O O
طيب دخول شو وضعو سالك,O O O O STAT
 دير شرف ازمة وتفتيش للي خارج نابلس,B-LOC I-LOC STAT STAT O O O
 روح عراق بورين وريح راسك,O O O O O
 دير شرف تفتيش وتدقيق الجهتين قنابل غاز وصوتيات,B-LOC I-LOC STAT O O O O O
مسا الخيرشو وضع صرة للخارج نابلس؟ فل ازمة,O O O B-LOC O O O STAT
 حاجز صره ازمه للي طالع نابلس سالك للي داخل الي بدو يطلع نابلس يروح تل لبورين او عراق بورين لبورين لحواره,Barr B-LOC STAT O O O STAT O O O O O O O B-LOC O O O O O O
 حاجز دير شرف ازمه خانقه,Barr B-LOC I-LOC STAT O
 صره ازمه واصله لعند الكازبه,B-LOC STAT O O O
قطعت الصوت عشان المصداقية هيك وصل الفيديو ايمتا هاد الحكي,O O O O O O O O O O
 يسعد مساكم حوارة يا شباب,O O B-LOC O O
 دير شرف ازمه خانقه,B-LOC I-LOC STAT O
 دير شرف ازمه خانقه الخارج,B-LOC I-LOC STAT O O
 للخارج,O
 مسكره دير شرف,STAT B-LOC I-LOC
 ازمه,STAT
 صره مغلق للخارج,B-LOC STAT O
 دير شرف حاجز وازمه,B-LOC I-LOC Barr STAT
يعنى سالك ديرشرف فش شي حاجز ازمة مافي قنابل غاز وصوت,O STAT O O O Barr STAT O O O O
 ازمه خانقه ديير شرف,STAT O B-LOC I-LOC
حاجز ازمة مافي قنابل غاز وصوت اها السلامة للجميع شاءالله,Barr STAT O O O O O O O O
اها السلامة للجميع شاءالله الله يسلمك,O O O O O O
 حركه سير قويه,O O O
طريق نابلس لطولكرم دير شرف سالكه,Barr O O B-LOC I-LOC STAT
المربعة شو اخباره ازمه,B-LOC O O STAT
 طريق السلامة للجميع,Barr O O
ياجماعه معقول مافي مواصلات نابلس لبيرزيت والله متعبه يوم اطلع رام الله بالمجمع لازم تنسقو,O O O O O O O O O O O O O O O
يعني حواره سالك الي داخل؟ ازمه سير قويه ماشيه,O B-LOC STAT O O STAT O O STAT
 الله الوكيل,O O
 حاجز صره سالك يا شباب,Barr B-LOC STAT O O
 صرانا الحاجز مغلق للخارج,O Barr STAT O
 حاجز,Barr
 الناس اللي فاتحة صايدين بنزول صرة الحاجز مسكر يا دوب يمرقو تفتيش وعملتو اعاقة بحركة السير لسيارتين اسعاف طالعات نابلس جد عالم بتستحيش,O O STAT O O B-LOC Barr STAT O O O STAT O O O O O O O O O O O
 صره مغلق للخارج,B-LOC STAT O
شو وضع دير شرف ازمه ومسكره,O O B-LOC I-LOC STAT STAT
الناس اللي فاتحة صايدين بنزول صرة الحاجز مسكر يا دوب يمرقو تفتيش وعملتو اعاقة بحركة السير لسيارتين اسعاف طالعات نابلس جد عالم بتستحيش هدول زيهم زي الجواسيس شغلتهم التخريب,O O STAT O O B-LOC Barr STAT O O O STAT O O O O O O O O O O O O O O O O O
 لبعد الفطور بتكون نشالله خفة الازمه,O O O O O STAT
 يا قولو سلك,O O STAT
 للخارج نابلس,O O
الي طالع نابلس طريق جوا دير شرف مسكرينها كمان,O O O Barr O B-LOC I-LOC O O
 صره فاتح انا الحاجز,B-LOC STAT I-LOC Barr
 صره فتح,B-LOC STAT
صره فاتح انا الحاجز للخارج,B-LOC STAT I-LOC Barr O
 تفيتيش الداخل والخارج,STAT O O
 صرة ازمة خانقة للخارج,B-LOC STAT O O
 فتحو صره دقيقتين,STAT B-LOC O
 حاجز,Barr
لساتنا واقفين صره فتح ولى,O STAT B-LOC STAT O
 صرة خارج,B-LOC O
 انا دخلت نابلس صرة,I-LOC O O B-LOC
 للداخل فاتح,O STAT
 الازمه واصلة مفرق صرة,STAT O O B-LOC
 تفتيش,STAT
 صايمة واحنا مفطرين يعني,O O O O
 يا جماعه طريق المربعة الخارج نابلس صعبة حولوا تل,O O Barr B-LOC O O O O B-LOC
 صره للخارج,B-LOC O
صره للخارج مسكرة,B-LOC O STAT
طيب هاي الناس الي بتتجاوز هدةل لازمهم سحب رخث,O O O O O O STAT O O
 مزبوط لازمهم,O STAT
 اغلب الحواجز سكرت,O O STAT
 مين صره جماعه بشرفكم مين حاجز صره موحود,O B-LOC O O O Barr B-LOC O
 صرة حاجز,B-LOC Barr
 انا عالحاجز,I-LOC O
 ودير شرف سكر,B-LOC I-LOC STAT
 اللى صرة يدخل تل البلد ويطلع طريق المربعة الحاجز كشك القهوة بطلع وبكمل مادما او بورين واللى حاجز المربعة يطلع عراق بورين الجبلية سالكة ومنيحة بقدر يكمل بتجاه بورين او بتجاه المربعة الحاجز,O B-LOC O B-LOC O O Barr B-LOC Barr O O O O B-LOC O O O Barr B-LOC O O O O STAT O O O O O O O B-LOC Barr
شو وضع دير شرف للخارج ازمه,O O B-LOC I-LOC O STAT
ليه جيت ال ال,O B-LOC I-LOC I-LOC
 هدول الحقيرين بفتحو بواب السيارات,O O O O O
 ديرو بالكم,B-LOC O
 حواره سالك,B-LOC STAT
 فتح للخارج,STAT O
 والدخل صره مفتوح,O B-LOC STAT
ياعمي شو وضع حوارة سالك,O O O B-LOC STAT
 صره فاتح,B-LOC STAT
 شباب حاجز حواره سألك,O Barr B-LOC O
 صره فاتح,B-LOC STAT
 للداخل والخارج حواره سالكه,O O B-LOC STAT
 الداخل,O
 سالكه,STAT
 انا حاجز حواره سألك يا شباب جيش بوقفو,I-LOC Barr B-LOC O O O B-ORG O
دير شرف شو الوضع؟ ازمة,B-LOC I-LOC O O STAT
 تعالو حاجز حواره سالك,O Barr B-LOC STAT
 هيني مرقت حاجز حواره,O O Barr B-LOC
 مسكر صرة للخارج,STAT B-LOC O
 صره مسكره للخارج,B-LOC STAT O
 صرة فاتح مسكر,B-LOC STAT STAT
 للي داخل,O O
 مسكر يا جماعة صره,STAT O O B-LOC
طيف طريق صرة؟ سالك دخول,O Barr B-LOC STAT O
 خروج شكلهم شالو,O O O
 حواره سالك,B-LOC STAT
 هسا فتح,O STAT
 للخارج,O
شو وضع حاجز حوارة الي طالع نابلس ؟؟ فاتح حوارة يا اخوان وفش ازمات,O O Barr B-LOC O O O O STAT B-LOC O O O O
 حاجز صره فتحو يا شباب,Barr B-LOC STAT O O
 شباب حواره وزعتر سالك تواجد كثيف للجيش والشرطه,O B-LOC B-LOC STAT O O B-ORG O
 حوارة تفتيش للخارج,B-LOC STAT O
حاجز صره فتحو يا شباب فاتح سالك,Barr B-LOC STAT O O STAT STAT
 للخارج,O
 حاجز المربعه,Barr B-LOC
 صحيح ازمة,O STAT
 معلقين,O
 فتح دير شرف,STAT B-LOC I-LOC
 طريق يستهتر سالكه,Barr O STAT
 زعتره سالكه,B-LOC STAT
 دير شرف سالكه,B-LOC I-LOC STAT
 حواره سالكه,B-LOC STAT
 حولرة يتسهار سالكة,B-LOC B-LOC STAT
 حاجز صره جيش وتفتيش,Barr B-LOC B-ORG STAT
 شباب طريق تل لحواره فاتحه لاء,O Barr B-LOC O STAT O
 انا طالع طولكرم نابلس ازا فاتح ببعتلكم,I-LOC O O O O STAT O
 طولكرم لدير الغصون ازمة خانقة,O B-LOC O STAT O
شباب شو وضع الطريق نابلس الدخلة سالكة,O O O Barr O O STAT
الدخلة سالكة وللخارج,O STAT O
 شباب انا هيني مرقت صره فاتحه عالجهتين,O I-LOC O O B-LOC STAT O
 دير شرف سالكه بالاتجاهين,B-LOC I-LOC STAT O
اسف قصدي دير شرف عادي يهمك الكل بغلط,O O B-LOC I-LOC O O O O
 الحاجز,Barr
 حاجز حواره داخل وطالع تفتيش جهتين ازمه,Barr B-LOC O O STAT O STAT
 وحاجز بيت فوريك,Barr B-LOC I-LOC
 بيت فوريك فارغ وجود تفتيش ماشي للداخل وفارغ,B-LOC I-LOC O O STAT STAT O O
طولكرم لنابلس الطريق ؟ سالكه,O O Barr O STAT
 طريق دير شرف سالكه,Barr B-LOC I-LOC STAT
 اغلاق دوار يتسهار,STAT Barr B-LOC
صره يا شباب وضعها تفتيش للي طالع صره,B-LOC O O O STAT O O B-LOC
صره فاتح ؟ تفتيش للي طالع صره,B-LOC STAT O STAT O O B-LOC
 سالك,STAT
مسا الخير رام الله لنابلس الطريق سالكه تفتيش خفيف حولره,O O O O O Barr STAT STAT O O
 دير شرف سالك,B-LOC I-LOC STAT
مسا الخير رام الله لنابلس الطريق حاجز حوارة فاتح للداخل نابلس وتفتيش عالخارجين وازمه قليله,O O O O O Barr Barr B-LOC STAT O O STAT O STAT O
 نابلس رام الله سالكة,O O O STAT
 سالكه الاتجاهين,STAT O
 حاجز حوارة للي طالع,Barr B-LOC O O
 عملية اطلاق نار حاجز شافي شمرون الرجاء الانتباه,O STAT O Barr B-LOC I-LOC O O
 المداخل سالكه الا حواره ازمة للخارجين نابلس,O STAT O B-LOC STAT O O
 صره أزمة وتفتيش للخارج نابلس,B-LOC STAT STAT O O
 دير شرف سالك,B-LOC I-LOC STAT
 حواره سالكه,B-LOC STAT
شو وضع دير شرف او صرة يا شباب ديرشرف سالك صره تفتيش,O O B-LOC I-LOC O B-LOC O O O STAT B-LOC STAT
 وصره حدا واقف بلتفتيش؟,B-LOC O STAT O
 ماشي,STAT
 حاجز لداخل والخارج تدقيق بتلفونات اي تلفون بلاقو صوره شهداء بحجزو,Barr O O O O I-LOC O O B-LOC O O
 يتسهار حوارة زعترة سالك,B-LOC B-LOC B-LOC STAT
صره؟ حاجز للي خارج نابلس,B-LOC Barr O O O
وين هاض ؟؟ محسوم لمربعه,O O O Barr B-LOC
 يخوان للي داخل,O O O
اه نص ساعه حجزوني,O O O O
يتسهار حوارة زعترة سالك يتسهار مسكر,B-LOC B-LOC B-LOC STAT B-LOC STAT
 لمربعه محسوم,B-LOC Barr
 تفتيش,STAT
 طازة,O
 حوارة للخارج نابلس ازمة كبيرة,B-LOC O O STAT O
 ايتسهار ازمه والحاجز ازمه نعف,B-LOC STAT O STAT O
 شافي شامرون سالك,B-LOC I-LOC STAT
حاجز حوارة لداخل والخارج شو وضعه سالك سمحتو للداخل سالكللخارج تفتيش,Barr B-LOC O O O O STAT O O O STAT
حاجز حوارة لداخل والخارج شو وضعه سالك سمحتو ازمة بطيئة,Barr B-LOC O O O O STAT O STAT O
شباب رام الله لجنين شافي شومرون فاتح؟؟؟ سالك,O O O O B-LOC I-LOC O STAT
اللي خارج نابلس حاجز حواره ازمه كثير والا شو الوضع ازمة ااه وتفتيش,O O O Barr B-LOC STAT O O O O STAT O STAT
اللي خارج نابلس حاجز حواره ازمه كثير والا شو الوضع ازمة بطيئة,O O O Barr B-LOC STAT O O O O STAT O
المربعه يا شباب حاجز,B-LOC O O Barr
 الي فايت عنابلس يوخد طريق عورتا المعبر فاتح,O O B-LOC O Barr B-LOC O STAT
 حاجز حوارة سالك للداخل نابلس وازمة كبيرة للخارج,Barr B-LOC STAT O O STAT O O
 الي فايت عنابلس سالكه اشي عالي فايت,O O B-LOC STAT STAT O O
 الي طالع نابلس ازمه للركب,O O O STAT O
 زعتره لايتسهار سالكه,B-LOC B-LOC STAT
 صره كمين وجيش انا رحت شهود عيان,B-LOC O B-ORG I-LOC O O O
 شافي شامرون تفتيش باتجاه نابلس,B-LOC I-LOC STAT O O
 حاجز صره ازمه كثير,Barr B-LOC STAT O
 سالكه حواره,STAT B-LOC
حواره دوار يتسهار مغلق,B-LOC Barr B-LOC STAT
صره كمين وجيش انا رحت شهود عيان جيت صرة حاجز مش كمين,B-LOC O B-ORG I-LOC O O O B-LOC B-LOC Barr O O
 حوارة للخارج نابلس,B-LOC O O
نابلس للداخل شو وضعها سالكه,O O O O STAT
 حاجز تل المربعة سالك فش ازمة  سيارات الجهتين,Barr B-LOC B-LOC STAT O STAT O O
بدي اطلع نابلس شو اامن طريق؟ عورتا وعالحاجز سالكه,O O O O O Barr B-LOC O STAT
 الي طالع نابلس نصيحه تطلعش هسا وقوف تام لحركه السيارات وتفتيش,O O O O O O O O O O STAT
 حواره تفتيش الي طالع والفايت والشارع الرئيسى ملان جيش,B-LOC STAT O O O O O O B-ORG
وين عالحاجز,O O
 سالك,STAT
 الحاجز طريق لمعبر عورتا سالك تماما,Barr Barr O B-LOC STAT B-LOC
 حاجز حواره ازمه,Barr B-LOC STAT
 صره حاجز للي طالع نابلس,B-LOC Barr O O O
 صرة للي طالع ازمة,B-LOC O O STAT
طريق عراق بورين شو وضعها يا طيب؟ سالكة,Barr O O O O O O STAT
 صره ازمه,B-LOC STAT
 دير شرف سالك,B-LOC I-LOC STAT
دير شرف للي طالع؟ سالك,B-LOC I-LOC O O STAT
 حواره الحاجز ازمه خانقة,B-LOC Barr STAT O
 فايت حواره تفتيشش,O B-LOC STAT
 صرة حاجز الي طالع نابلس,B-LOC Barr O O O
فايت حواره تفتيشش لاداخل,O B-LOC STAT O
 الخارج,O
دير شرف يا شباب سالك,B-LOC I-LOC O O STAT
 حاجز حواره ازمه,Barr B-LOC STAT
 ازمه حواره,STAT B-LOC
 للخارح,O
 حوارة ازمه للخارج,B-LOC STAT O
 للخارج نابلس,O O
 لفو عورتا اسلك,O B-LOC O
 للتذكير حركه الجسور الايام القادمةسيبدأ العمل بنظام ساعه يوم غد الاحد يكون الدوام كالتاليالاحد يفتح الجسر الساعة صباحا يستمر ساعه يوم الاربعاء الساعه ظهرا يغلق بالكاملالخميس صباحا عصراالجمعة السبت صباحا ظهرا يتم اغلاق الجسر موعد الافطار بنصف فتحة الإفطار بنصف ملاحظه هامة الجدول التوقيت الشتوي الفلسطيني الصيفي يذكر الجسر يعمل التوقيت الصيفي الشتوي بزيادة واحدة المواعيد الاعلى,O O O O O O O O O O O O O O STAT O O O O O O O O O O O O O O O O B-LOC STAT O O O O STAT O O O O O O O I-ORG O O O O O O O O O O O
 انت ابو السكودا؟,O O O
 حوارة مغلق,B-LOC STAT
 دير شرف سالك,B-LOC I-LOC STAT
 حاجز صرة للطالع,Barr B-LOC O
زعترة؟ سالك,B-LOC STAT
 نص ساعه سالك دير شرف,O O STAT B-LOC I-LOC
 دير شرف سالك,B-LOC I-LOC STAT
 حاجز جيت صرة نابلس,Barr B-LOC B-LOC O
 حاجز حواره يا شباب,Barr B-LOC O O
حاجز حواره يا شباب ولله زفت اخوي,Barr B-LOC O O O O O
 يعني حاجز صره بدخل نابلس,O Barr B-LOC O O
 ازمة للي داخل عنابلس حوارة,STAT O O B-LOC B-LOC
